sporting_director_category,club_seasons,average_spending,average_points,average_wins,average_goal_difference
BIG SPENDER - SUCCESSFUL,18,86.54444444444444,68.83333333333333,19.72222222222222,23.444444444444443
SMART SPENDER,9,4.666888888888889,59.44444444444444,16.0,13.0
LOW INVESTMENT - LOW PERFORMANCE,18,5.653333333333332,44.05555555555556,10.833333333333334,-10.833333333333334
EXPENSIVE UNDERPERFORMER,9,19.188888888888886,43.111111111111114,10.444444444444445,-8.222222222222221
