transfer_strategy,total_transfers,share_of_all_transfers_percent,correlation_with_points
Loan Return,323,42.002600780234076,0.48937928818409454
Internal Promotion,86,11.183355006501952,0.1290794937880709
Permanent Transfer,154,20.026007802340704,0.08051046249020238
Unknown,18,2.340702210663199,-0.029170315426300702
Free Transfer,98,12.743823146944083,-0.33257150123146106
Loan,90,11.703511053315994,-0.44189327273665274
